diff,k,init,lr,seed,accuracy
hard,-0.3,c0.06,3e-4,3,0.2995
hard,-0.3,c0.06,5e-4,1,0.376
hard,-0.3,c0.06,5e-4,2,0.3005
hard,-0.3,c0.06,5e-4,3,0.3175
hard,-0.3,c0.08,1e-3,1,0.2265
hard,-0.3,c0.08,1e-3,2,0.3015
hard,-0.3,c0.08,1e-3,3,0.2125
hard,-0.3,c0.08,1e-4,1,0.28
hard,-0.3,c0.08,1e-4,2,0.2535
hard,-0.3,c0.08,1e-4,3,0.282
hard,-0.3,c0.08,3e-4,1,0.463
hard,-0.3,c0.08,3e-4,2,0.277
hard,-0.3,c0.08,3e-4,3,0.252
hard,-0.3,c0.08,5e-4,1,0.3405
hard,-0.3,c0.08,5e-4,2,0.3995
hard,-0.3,c0.08,5e-4,3,0.429
hard,-0.3,ngpt,1e-3,1,0.392
hard,-0.3,ngpt,1e-3,2,0.284
hard,-0.3,ngpt,1e-3,3,0.1955
hard,-0.3,ngpt,1e-4,1,0.256
hard,-0.3,ngpt,1e-4,2,0.3475
hard,-0.3,ngpt,1e-4,3,0.226
hard,-0.3,ngpt,3e-4,1,0.445
hard,-0.3,ngpt,3e-4,2,0.3865
hard,-0.3,ngpt,3e-4,3,0.391
hard,-0.3,ngpt,5e-4,1,0.3865
hard,-0.3,ngpt,5e-4,2,0.456
hard,-0.3,ngpt,5e-4,3,0.313
hard,-0.3,random,1e-3,1,0.281
hard,-0.3,random,1e-3,2,0.409
hard,-0.3,random,1e-3,3,0.239
hard,-0.3,random,1e-4,1,0.1645
hard,-0.3,random,1e-4,2,0.2815
hard,-0.3,random,1e-4,3,0.3845
hard,-0.3,random,3e-4,1,0.384
hard,-0.3,random,3e-4,2,0.365
hard,-0.3,random,3e-4,3,0.4015
hard,-0.3,random,5e-4,1,0.2865
hard,-0.3,random,5e-4,2,0.4715
hard,-0.3,random,5e-4,3,0.3215
hard,-0.25,c0.01,1e-3,1,0.374
hard,-0.25,c0.01,1e-3,2,0.2975
hard,-0.25,c0.01,1e-3,3,0.385
hard,-0.25,c0.01,1e-4,1,0.2205
hard,-0.25,c0.01,1e-4,2,0.341
hard,-0.25,c0.01,1e-4,3,0.4255
hard,-0.25,c0.01,3e-4,1,0.418
hard,-0.25,c0.01,3e-4,2,0.393
hard,-0.25,c0.01,3e-4,3,0.2255
hard,-0.25,c0.01,5e-4,1,0.3975
hard,-0.25,c0.01,5e-4,2,0.3875
hard,-0.25,c0.01,5e-4,3,0.411
hard,-0.25,c0.02,1e-3,1,0.167
hard,-0.25,c0.02,1e-3,2,0.235
hard,-0.25,c0.02,1e-3,3,0.2485
hard,-0.25,c0.02,1e-4,1,0.211
hard,-0.25,c0.02,1e-4,2,0.2855
hard,-0.25,c0.02,1e-4,3,0.367
hard,-0.25,c0.02,3e-4,1,0.239
hard,-0.25,c0.02,3e-4,2,0.3355
hard,-0.25,c0.02,3e-4,3,0.3255
hard,-0.25,c0.02,5e-4,1,0.249
hard,-0.25,c0.02,5e-4,2,0.2615
hard,-0.25,c0.02,5e-4,3,0.3685
hard,-0.25,c0.04,1e-3,1,0.163
hard,-0.25,c0.04,1e-3,2,0.2875
hard,-0.25,c0.04,1e-3,3,0.257
hard,-0.25,c0.04,1e-4,1,0.3355
hard,-0.25,c0.04,1e-4,2,0.37
hard,-0.25,c0.04,1e-4,3,0.231
hard,-0.25,c0.04,3e-4,1,0.4075
hard,-0.25,c0.04,3e-4,2,0.3305
hard,-0.25,c0.04,3e-4,3,0.375
hard,-0.25,c0.04,5e-4,1,0.4585
hard,-0.25,c0.04,5e-4,2,0.2995
hard,-0.25,c0.04,5e-4,3,0.3215
hard,-0.25,c0.06,1e-3,1,0.3085
hard,-0.25,c0.06,1e-3,2,0.2565
hard,-0.25,c0.06,1e-3,3,0.2845
hard,-0.25,c0.06,1e-4,1,0.3405
hard,-0.25,c0.06,1e-4,2,0.3435
hard,-0.25,c0.06,1e-4,3,0.2425
hard,-0.25,c0.06,3e-4,1,0.36
hard,-0.25,c0.06,3e-4,2,0.3795
hard,-0.25,c0.06,3e-4,3,0.332
hard,-0.25,c0.06,5e-4,1,0.374
hard,-0.25,c0.06,5e-4,2,0.3425
hard,-0.25,c0.06,5e-4,3,0.327
hard,-0.25,c0.08,1e-3,1,0.163
hard,-0.25,c0.08,1e-3,2,0.3125
hard,-0.25,c0.08,1e-3,3,0.1245
hard,-0.25,c0.08,1e-4,1,0.339
hard,-0.25,c0.08,1e-4,2,0.275
hard,-0.25,c0.08,1e-4,3,0.2745
hard,-0.25,c0.08,3e-4,1,0.394
hard,-0.25,c0.08,3e-4,2,0.3705
hard,-0.25,c0.08,3e-4,3,0.315
hard,-0.25,c0.08,5e-4,1,0.335
hard,-0.25,c0.08,5e-4,2,0.3525
hard,-0.25,c0.08,5e-4,3,0.3185
hard,-0.25,ngpt,1e-3,1,0.2035
hard,-0.25,ngpt,1e-3,2,0.2335
hard,-0.25,ngpt,1e-3,3,0.2685
hard,-0.25,ngpt,1e-4,1,0.1675
hard,-0.25,ngpt,1e-4,2,0.292
hard,-0.25,ngpt,1e-4,3,0.3525
hard,-0.25,ngpt,3e-4,1,0.3865
hard,-0.25,ngpt,3e-4,2,0.353
hard,-0.25,ngpt,3e-4,3,0.322
hard,-0.25,ngpt,5e-4,1,0.315
hard,-0.25,ngpt,5e-4,2,0.323
hard,-0.25,ngpt,5e-4,3,0.294
hard,-0.25,random,1e-3,1,0.167
hard,-0.25,random,1e-3,2,0.332
hard,-0.25,random,1e-3,3,0.238
hard,-0.25,random,1e-4,1,0.235
hard,-0.25,random,1e-4,2,0.2855
hard,-0.25,random,1e-4,3,0.367
hard,-0.25,random,3e-4,1,0.239
hard,-0.25,random,3e-4,2,0.3355
hard,-0.25,random,3e-4,3,0.259
hard,-0.25,random,5e-4,1,0.249
hard,-0.25,random,5e-4,2,0.2615
hard,-0.25,random,5e-4,3,0.1785
medium,-1.5,c0.01,1e-3,1,0.772
medium,-1.5,c0.01,1e-3,2,0.7455
medium,-1.5,c0.01,1e-3,3,0.704
medium,-1.5,c0.01,1e-4,1,0.5365
medium,-1.5,c0.01,1e-4,2,0.525
medium,-1.5,c0.01,1e-4,3,0.57
medium,-1.5,c0.01,3e-4,1,0.6445
medium,-1.5,c0.01,3e-4,2,0.7525
medium,-1.5,c0.01,3e-4,3,0.713
medium,-1.5,c0.01,5e-4,1,0.753
medium,-1.5,c0.01,5e-4,2,0.641
