method,seed,nfe,temp,gen_ppl,entropy,num_unique,num_samples
duo,2,16,0.7,15.60421371459961,4.198908805847168,512,512
duo,3,16,0.7,15.095864295959473,4.206394195556641,512,512
duo,1,16,0.75,16.70989418029785,4.2343854904174805,512,512
duo,2,16,0.75,17.096649169921875,4.2409491539001465,512,512
duo,3,16,0.75,16.24235725402832,4.237082004547119,512,512
duo,1,16,0.8,18.071664810180664,4.265705108642578,512,512
duo,2,16,0.8,18.337732315063477,4.267452239990234,512,512
duo,3,16,0.8,17.836280822753906,4.266665458679199,512,512
duo,1,16,0.85,19.781391143798828,4.287275791168213,512,512
duo,2,16,0.85,20.07299041748047,4.284806728363037,512,512
duo,3,16,0.85,19.522951126098633,4.2875471115112305,512,512
duo,1,16,0.9,21.765851974487305,4.304476737976074,512,512
duo,2,16,0.9,22.873083114624023,4.314862251281738,512,512
duo,3,16,0.9,21.279787063598633,4.309372901916504,512,512
duo,1,16,0.95,24.80367660522461,4.333502292633057,512,512
duo,2,16,0.95,25.257572174072266,4.338307857513428,512,512
duo,3,16,0.95,23.979015350341797,4.336277961730957,512,512
duo,1,16,1.0,27.3704776763916,4.351864814758301,512,512
duo,2,16,1.0,28.40055274963379,4.350314617156982,512,512
duo,3,16,1.0,27.346927642822266,4.346713066101074,512,512
duo,1,16,1.05,31.13724708557129,4.373419761657715,512,512
duo,2,16,1.05,32.37037658691406,4.367964267730713,512,512
duo,3,16,1.05,31.16262435913086,4.366451263427734,512,512
duo,1,16,1.1,36.393367767333984,4.3809943199157715,512,512
duo,2,16,1.1,37.231929779052734,4.386876583099365,512,512
duo,3,16,1.1,35.475521087646484,4.387940406799316,512,512
duo,1,16,1.15,42.02641677856445,4.397972583770752,512,512
duo,2,16,1.15,44.151145935058594,4.397336959838867,512,512
duo,3,16,1.15,41.636104583740234,4.3934326171875,512,512
duo,1,16,1.2,50.85894012451172,4.40612268447876,512,512
duo,2,16,1.2,51.623146057128906,4.408822059631348,512,512
duo,3,16,1.2,48.5384635925293,4.403641700744629,512,512
duo,1,32,0.5,10.621501922607422,4.068530559539795,512,512
duo,2,32,0.5,10.721712112426758,4.08756160736084,512,512
duo,3,32,0.5,10.445959091186523,4.081330299377441,512,512
duo,1,32,0.55,11.220230102539062,4.112976551055908,512,512
duo,2,32,0.55,11.184967994689941,4.112656593322754,512,512
duo,3,32,0.55,10.979990005493164,4.113816261291504,512,512
duo,1,32,0.6,11.617191314697266,4.149789333343506,512,512
duo,2,32,0.6,11.757633209228516,4.149852752685547,512,512
duo,3,32,0.6,11.558356285095215,4.153386116027832,512,512
duo,1,32,0.65,12.25750732421875,4.185060024261475,512,512
duo,2,32,0.65,12.336149215698242,4.184535503387451,512,512
duo,3,32,0.65,12.085326194763184,4.18803071975708,512,512
duo,1,32,0.7,12.901104927062988,4.216335773468018,512,512
duo,2,32,0.7,13.009474754333496,4.213040828704834,512,512
duo,3,32,0.7,12.607603073120117,4.215319633483887,512,512
duo,1,32,0.75,13.780633926391602,4.240061283111572,512,512
duo,2,32,0.75,13.765726089477539,4.234664440155029,512,512
duo,3,32,0.75,13.498408317565918,4.250392913818359,512,512
duo,1,32,0.8,14.656466484069824,4.26181173324585,512,512
duo,2,32,0.8,15.010772705078125,4.262627124786377,512,512
duo,3,32,0.8,14.817509651184082,4.269448280334473,512,512
duo,1,32,0.85,16.128976821899414,4.285379409790039,512,512
duo,2,32,0.85,16.10193634033203,4.2861833572387695,512,512
duo,3,32,0.85,15.916122436523438,4.293236255645752,512,512
duo,1,32,0.9,17.432220458984375,4.315196514129639,512,512
duo,2,32,0.9,17.727558135986328,4.314624309539795,512,512
duo,3,32,0.9,17.327184677124023,4.321411609649658,512,512
duo,1,32,0.95,19.482027053833008,4.335034370422363,512,512
duo,2,32,0.95,19.57432746887207,4.3316874504089355,512,512
duo,3,32,0.95,18.515247344970703,4.330211162567139,512,512
duo,1,32,1.0,21.518781661987305,4.350860118865967,512,512
duo,2,32,1.0,21.910825729370117,4.355916976928711,512,512
duo,3,32,1.0,21.04364776611328,4.356063365936279,512,512
duo,1,32,1.05,24.017520904541016,4.375790119171143,512,512
duo,2,32,1.05,24.735626220703125,4.372636318206787,512,512
duo,3,32,1.05,24.092784881591797,4.3743510246276855,512,512
duo,1,32,1.1,27.594736099243164,4.389225959777832,512,512
duo,2,32,1.1,28.19675064086914,4.378822326660156,512,512
duo,3,32,1.1,27.241046905517578,4.388176441192627,512,512
duo,1,32,1.15,32.69685745239258,4.41414737701416,512,512
duo,2,32,1.15,32.80082702636719,4.405191421508789,512,512
duo,3,32,1.15,31.68634796142578,4.405229568481445,512,512
duo,1,32,1.2,37.75422286987305,4.41546106338501,512,512
duo,2,32,1.2,38.81291961669922,4.415722370147705,512,512
duo,3,32,1.2,37.6082878112793,4.413371562957764,512,512
duo,1,64,0.5,10.086188316345215,4.086164951324463,512,512
duo,2,64,0.5,10.091032028198242,4.084028720855713,512,512
duo,3,64,0.5,9.914799690246582,4.09184455871582,512,512
duo,1,64,0.55,10.391172409057617,4.124550819396973,512,512
duo,2,64,0.55,10.483616828918457,4.130867004394531,512,512
duo,3,64,0.55,10.230063438415527,4.127337455749512,512,512
duo,1,64,0.6,10.839194297790527,4.152968406677246,512,512
duo,2,64,0.6,10.950302124023438,4.1612043380737305,512,512
duo,3,64,0.6,10.687821388244629,4.158787250518799,512,512
duo,1,64,0.65,11.368829727172852,4.18211030960083,512,512
duo,2,64,0.65,11.51074504852295,4.193730354309082,512,512
duo,3,64,0.65,11.168636322021484,4.187450885772705,512,512
duo,1,64,0.7,11.934271812438965,4.2144365310668945,512,512
duo,2,64,0.7,12.098163604736328,4.213709831237793,512,512
duo,3,64,0.7,11.683499336242676,4.214656829833984,512,512
duo,1,64,0.75,12.824395179748535,4.237208843231201,512,512
duo,2,64,0.75,12.685431480407715,4.236914157867432,512,512
duo,3,64,0.75,12.554376602172852,4.244576930999756,512,512
duo,1,64,0.8,13.647900581359863,4.259214878082275,512,512
duo,2,64,0.8,13.579853057861328,4.2566986083984375,512,512
duo,3,64,0.8,13.271995544433594,4.259130477905273,512,512
duo,1,64,0.85,14.753392219543457,4.284477233886719,512,512
