method,gt,eta,seed,nfe,gen_ppl,entropy,num_unique,num_samples
eflm,p75,32.0,2,64,10.97396469116211,4.118868350982666,512,512
eflm,p75,32.0,3,64,10.94719409942627,4.0746307373046875,512,512
eflm,p75,64.0,1,64,13.35896110534668,4.219349384307861,512,512
eflm,p75,64.0,2,64,13.357582092285156,4.227653503417969,512,512
eflm,p75,64.0,3,64,12.811495780944824,4.169487953186035,512,512
eflm,p75,1.0,1,128,10.551547050476074,3.834392786026001,512,512
eflm,p75,1.0,2,128,10.05734920501709,3.855835199356079,512,512
eflm,p75,1.0,3,128,10.540760040283203,3.8118224143981934,512,512
eflm,p75,2.0,1,128,10.117302894592285,3.8557114601135254,512,512
eflm,p75,2.0,2,128,9.72636890411377,3.8736495971679688,512,512
eflm,p75,2.0,3,128,10.213961601257324,3.8349862098693848,512,512
eflm,p75,4.0,1,128,9.723838806152344,3.89115834236145,512,512
eflm,p75,4.0,2,128,9.54211711883545,3.9087531566619873,512,512
eflm,p75,4.0,3,128,9.718287467956543,3.868161916732788,512,512
eflm,p75,8.0,1,128,9.543563842773438,3.9285850524902344,512,512
eflm,p75,8.0,2,128,9.424242973327637,3.946132183074951,512,512
eflm,p75,8.0,3,128,9.454737663269043,3.9178903102874756,512,512
eflm,p75,16.0,1,128,9.573453903198242,3.998870611190796,512,512
eflm,p75,16.0,2,128,9.61796760559082,4.004740238189697,512,512
eflm,p75,16.0,3,128,9.62820053100586,3.9777328968048096,512,512
eflm,p75,32.0,1,128,9.78999137878418,4.056475639343262,512,512
eflm,p75,32.0,2,128,9.972265243530273,4.078936576843262,512,512
eflm,p75,32.0,3,128,9.965300559997559,4.040014743804932,512,512
eflm,p75,64.0,1,128,10.451706886291504,4.116679668426514,512,512
eflm,p75,64.0,2,128,10.583808898925781,4.138342380523682,512,512
eflm,p75,64.0,3,128,10.37122917175293,4.10335636138916,512,512
eflm,quad,0.25,1,16,12.825504302978516,3.7550642490386963,512,512
eflm,quad,0.5,1,16,12.958512306213379,3.7573843002319336,512,512
